Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:46415000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;datains;dataalt;respalt;tecnico;medidorvazao
46415000;2;31/05/1994;01/01/1900 07:00:00;72;86;29,3;52,1;39,50;0,563;1,32;;;;;;
46415000;2;22/09/1997;01/01/1900 07:00:00;92;73;24;48,68;38,00;0,493;1,28;;;;;;
46415000;2;26/11/1998;01/01/1900 07:00:00;101;91;37,6;54,2;40,60;0,694;1,33;;;;;;
46415000;2;26/11/1998;01/01/1900 07:00:00;100;91;36,9;54,3;40,60;0,681;1,34;;;;;;
46415000;2;16/05/1998;01/01/1900 07:00:00;96;72;24,8;47,29;38,50;0,525;1,23;;;;;;
46415000;2;20/03/1998;01/01/1900 07:00:00;95;82;30,1;50,59;39,60;0,595;1,28;;;;;;
46415000;2;30/07/1996;01/01/1900 07:00:00;81;74;22,9;48,3;38,00;0,474;1,27;;;;;;
46415000;2;25/11/1997;01/01/1900 07:00:00;93;77;26,3;47,67;38,00;0,551;1,25;;;;;;
46415000;2;30/07/1996;01/01/1900 07:00:00;82;74;23,2;48,3;38,00;0,480;1,27;;;;;;
46415000;2;22/09/1997;01/01/1900 07:00:00;91;73;24,1;49,2;38,00;0,491;1,29;;;;;;
46415000;2;25/06/1997;01/01/1900 07:00:00;90;80;28,3;50,28;39,00;0,562;1,29;;;;;;
46415000;2;25/06/1997;01/01/1900 07:00:00;89;80;27,7;50,2;39,00;0,552;1,29;;;;;;
46415000;2;24/04/1997;01/01/1900 07:00:00;88;96;40,9;59,01;39,60;0,693;1,49;;;;;;
46415000;2;24/04/1997;01/01/1900 07:00:00;87;97;41;59,16;39,60;0,693;1,50;;;;;;
46415000;2;13/02/1997;01/01/1900 07:00:00;86;81;27,7;51,15;39,00;0,542;1,31;;;;;;
46415000;2;13/02/1997;01/01/1900 07:00:00;85;81;27,3;48,93;39,00;0,558;1,25;;;;;;
46415000;2;02/10/1996;01/01/1900 07:00:00;84;71;20,6;46,33;38,00;0,445;1,22;;;;;;
46415000;2;01/09/1998;01/01/1900 07:00:00;99;66;19,3;43,78;38,00;0,441;1,15;;;;;;
46415000;2;01/09/1998;01/01/1900 07:00:00;98;66;19;43,27;38,00;0,440;1,14;;;;;;
46415000;2;16/05/1998;01/01/1900 07:00:00;97;72;24,5;47,77;38,50;0,512;1,24;;;;;;
46415000;2;20/03/1998;01/01/1900 07:00:00;94;82;29,8;50,28;39,60;0,593;1,27;;;;;;
46415000;2;02/10/1996;01/01/1900 07:00:00;83;71;20,7;46,33;38,00;0,447;1,22;;;;;;
46415000;2;22/02/1988;01/01/1900 07:00:00;55;95;36,5;55,6;42,00;0,657;1,32;;;;;;
46415000;2;22/02/1988;01/01/1900 07:00:00;56;95;36,6;55,57;42,00;0,658;1,32;;;;;;
46415000;2;27/03/1988;01/01/1900 07:00:00;57;110;48;60,8;45,00;0,789;1,35;;;;;;
